Month,"CO2 (ppm) mauna loa, 1965-1980",,,CO2 (ppm) mauna loa, 1965-1980
Jan-65,319.32,,,,
Feb-65,320.36,,,,
Mar-65,320.82,,,,
Apr-65,322.06,,,,
May-65,322.17,,,,
Jun-65,321.95,,,,
Jul-65,321.2,,,,
Aug-65,318.81,,,,
Sep-65,317.82,,,,
Oct-65,317.37,,,,
Nov-65,318.93,,,,
Dec-65,319.09,,,,
Jan-66,319.94,,,,
Feb-66,320.98,,,,
Mar-66,321.81,,,,
Apr-66,323.03,,,,
May-66,323.36,,,,
Jun-66,323.11,,,,
Jul-66,321.65,,,,
Aug-66,319.64,,,,
Sep-66,317.86,,,,
Oct-66,317.25,,,,
Nov-66,319.06,,,,
Dec-66,320.26,,,,
Jan-67,321.65,,,,
Feb-67,321.81,,,,
Mar-67,322.36,,,,
Apr-67,323.67,,,,
May-67,324.17,,,,
Jun-67,323.39,,,,
Jul-67,321.93,,,,
Aug-67,320.29,,,,
Sep-67,318.58,,,,
Oct-67,318.6,,,,
Nov-67,319.98,,,,
Dec-67,321.25,,,,
Jan-68,321.88,,,,
Feb-68,322.47,,,,
Mar-68,323.17,,,,
Apr-68,324.23,,,,
May-68,324.88,,,,
Jun-68,324.75,,,,
Jul-68,323.47,,,,
Aug-68,321.34,,,,
Sep-68,319.56,,,,
Oct-68,319.45,,,,
Nov-68,320.45,,,,
Dec-68,321.92,,,,
Jan-69,323.4,,,,
Feb-69,324.21,,,,
Mar-69,325.33,,,,
Apr-69,326.31,,,,
May-69,327.01,,,,
Jun-69,326.24,,,,
Jul-69,325.37,,,,
Aug-69,323.12,,,,
Sep-69,321.85,,,,
Oct-69,321.31,,,,
Nov-69,322.31,,,,
Dec-69,323.72,,,,
Jan-70,324.6,,,,
Feb-70,325.57,,,,
Mar-70,326.55,,,,
Apr-70,327.8,,,,
May-70,327.8,,,,
Jun-70,327.54,,,,
Jul-70,326.28,,,,
Aug-70,324.63,,,,
Sep-70,323.12,,,,
Oct-70,323.11,,,,
Nov-70,323.99,,,,
Dec-70,325.09,,,,
Jan-71,326.12,,,,
Feb-71,326.61,,,,
Mar-71,327.16,,,,
Apr-71,327.92,,,,
May-71,329.14,,,,
Jun-71,328.8,,,,
Jul-71,327.52,,,,
Aug-71,325.62,,,,
Sep-71,323.61,,,,
Oct-71,323.8,,,,
Nov-71,325.1,,,,
Dec-71,326.25,,,,
Jan-72,326.93,,,,
Feb-72,327.83,,,,
Mar-72,327.95,,,,
Apr-72,329.91,,,,
May-72,330.22,,,,
Jun-72,329.25,,,,
Jul-72,328.11,,,,
Aug-72,326.39,,,,
Sep-72,324.97,,,,
Oct-72,325.32,,,,
Nov-72,326.54,,,,
Dec-72,327.71,,,,
Jan-73,328.73,,,,
Feb-73,329.69,,,,
Mar-73,330.47,,,,
Apr-73,331.69,,,,
May-73,332.65,,,,
Jun-73,332.24,,,,
Jul-73,331.03,,,,
Aug-73,329.36,,,,
Sep-73,327.6,,,,
Oct-73,327.29,,,,
Nov-73,328.28,,,,
Dec-73,328.79,,,,
Jan-74,329.45,,,,
Feb-74,330.89,,,,
Mar-74,331.63,,,,
Apr-74,332.85,,,,
May-74,333.28,,,,
Jun-74,332.47,,,,
Jul-74,331.34,,,,
Aug-74,329.53,,,,
Sep-74,327.57,,,,
Oct-74,327.57,,,,
Nov-74,328.53,,,,
Dec-74,329.69,,,,
Jan-75,330.45,,,,
Feb-75,330.97,,,,
Mar-75,331.64,,,,
Apr-75,332.87,,,,
May-75,333.61,,,,
Jun-75,333.55,,,,
Jul-75,331.9,,,,
Aug-75,330.05,,,,
Sep-75,328.58,,,,
Oct-75,328.31,,,,
Nov-75,329.41,,,,
Dec-75,330.63,,,,
Jan-76,331.63,,,,
Feb-76,332.46,,,,
Mar-76,333.36,,,,
Apr-76,334.45,,,,
May-76,334.82,,,,
Jun-76,334.32,,,,
Jul-76,333.05,,,,
Aug-76,330.87,,,,
Sep-76,329.24,,,,
Oct-76,328.87,,,,
Nov-76,330.18,,,,
Dec-76,331.5,,,,
Jan-77,332.81,,,,
Feb-77,333.23,,,,
Mar-77,334.55,,,,
Apr-77,335.82,,,,
May-77,336.44,,,,
Jun-77,335.99,,,,
Jul-77,334.65,,,,
Aug-77,332.41,,,,
Sep-77,331.32,,,,
Oct-77,330.73,,,,
Nov-77,332.05,,,,
Dec-77,333.53,,,,
Jan-78,334.66,,,,
Feb-78,335.07,,,,
Mar-78,336.33,,,,
Apr-78,337.39,,,,
May-78,337.65,,,,
Jun-78,337.57,,,,
Jul-78,336.25,,,,
Aug-78,334.39,,,,
Sep-78,332.44,,,,
Oct-78,332.25,,,,
Nov-78,333.59,,,,
Dec-78,334.76,,,,
Jan-79,335.89,,,,
Feb-79,336.44,,,,
Mar-79,337.63,,,,
Apr-79,338.54,,,,
May-79,339.06,,,,
Jun-79,338.95,,,,
Jul-79,337.41,,,,
Aug-79,335.71,,,,
Sep-79,333.68,,,,
Oct-79,333.69,,,,
Nov-79,335.05,,,,
Dec-79,336.53,,,,
Jan-80,337.81,,,,
Feb-80,338.16,,,,
Mar-80,339.88,,,,
Apr-80,340.57,,,,
May-80,341.19,,,,
Jun-80,340.87,,,,
Jul-80,339.25,,,,
Aug-80,337.19,,,,
Sep-80,335.49,,,,
Oct-80,336.63,,,,
Nov-80,337.74,,,,
Dec-80,338.36,,,,
